name,link,image,sku,model,price,original_price,save,rating,rating_count,is_sold_out,product
Apple - 10.2-Inch iPad (9th Generation) with Wi-Fi - 64GB - Space Gray,https://www.bestbuy.com/site/apple-10-2-inch-ipad-9th-generation-with-wi-fi-64gb-space-gray/4901809.p?skuId=4901809,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4901/4901809_sd.jpg;maxHeight=200;maxWidth=257;format=webp,4901809.0,MK2K3LL/A,199.0,329.0,39.51%,4.9,28334.0,False,iPad
Apple - 10.9-Inch iPad - Latest Model - (10th Generation) with Wi-Fi - 64GB - Silver,https://www.bestbuy.com/site/apple-10-9-inch-ipad-latest-model-10th-generation-with-wi-fi-64gb-silver/5200800.p?skuId=5200800,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5200/5200800_sd.jpg;maxHeight=200;maxWidth=265;format=webp,5200800.0,MPQ03LL/A,299.0,349.0,14.33%,4.9,15331.0,False,iPad
Apple - 10.9-Inch iPad - Latest Model - (10th Generation) with Wi-Fi - 256GB - Blue,https://www.bestbuy.com/site/apple-10-9-inch-ipad-latest-model-10th-generation-with-wi-fi-256gb-blue/5201010.p?skuId=5201010,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5201/5201010_sd.jpg;maxHeight=200;maxWidth=264;format=webp,5201010.0,MPQ93LL/A,449.0,499.0,10.02%,4.9,4768.0,False,iPad
Apple - 10.2-Inch iPad (9th Generation) with Wi-Fi - 256GB - Space Gray,https://www.bestbuy.com/site/apple-10-2-inch-ipad-9th-generation-with-wi-fi-256gb-space-gray/4901816.p?skuId=4901816,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4901/4901816_sd.jpg;maxHeight=200;maxWidth=257;format=webp,4901816.0,MK2N3LL/A,349.0,479.0,27.14%,4.9,7139.0,False,iPad
Apple - 10.9-Inch iPad - Latest Model - (10th Generation) with Wi-Fi + Cellular - 64GB - Blue (Unlocked),https://www.bestbuy.com/site/apple-10-9-inch-ipad-latest-model-10th-generation-with-wi-fi-cellular-64gb-blue-unlocked/6340463.p?skuId=6340463,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6340/6340463_sd.jpg;maxHeight=200;maxWidth=200;format=webp,6340463.0,MQ6K3LL/A,449.0,499.0,10.02%,4.8,343.0,False,iPad
Apple - 10.2-Inch iPad (9th Generation) with Wi-Fi + Cellular - 256GB - Space Gray (Unlocked),https://www.bestbuy.com/site/apple-10-2-inch-ipad-9th-generation-with-wi-fi-cellular-256gb-space-gray-unlocked/6340480.p?skuId=6340480,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6340/6340480_sd.jpg;maxHeight=200;maxWidth=257;format=webp,6340480.0,MK693LL/A,479.0,609.0,21.35%,4.7,255.0,False,iPad
Apple - 10.9-Inch iPad - Latest Model - (10th Generation) with Wi-Fi + Cellular - 256GB - Silver (Unlocked),https://www.bestbuy.com/site/apple-10-9-inch-ipad-latest-model-10th-generation-with-wi-fi-cellular-256gb-silver-unlocked/6340429.p?skuId=6340429,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6340/6340429_sd.jpg;maxHeight=200;maxWidth=265;format=webp,6340429.0,MQ6T3LL/A,599.0,649.0,7.70%,4.8,213.0,False,iPad
Apple - 11-inch iPad Pro M4 chip Built for Apple Intelligence  Wi-Fi 256GB with OLED - Space Black,https://www.bestbuy.com/site/apple-11-inch-ipad-pro-m4-chip-built-for-apple-intelligence-wi-fi-256gb-with-oled-space-black/5495362.p?skuId=5495362,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5495/5495362cv11d.jpg;maxHeight=200;maxWidth=262;format=webp,5495362.0,MVV83LL/A,899.0,999.0,10.01%,4.8,391.0,False,iPad
Apple - iPad mini (6th Generation) Wi-Fi - 64GB - Space Gray,https://www.bestbuy.com/site/apple-ipad-mini-6th-generation-wi-fi-64gb-space-gray/4901902.p?skuId=4901902,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4901/4901902_sd.jpg;maxHeight=200;maxWidth=240;format=webp,4901902.0,MK7M3LL/A,399.0,499.0,20.04%,4.8,5901.0,False,iPad
Apple - 13-inch iPad Pro M4 chip Built for Apple Intelligence  Wi-Fi 256GB with OLED - Space Black,https://www.bestbuy.com/site/apple-13-inch-ipad-pro-m4-chip-built-for-apple-intelligence-wi-fi-256gb-with-oled-space-black/6533540.p?skuId=6533540,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6533/6533540cv11d.jpg;maxHeight=200;maxWidth=273;format=webp,6533540.0,MVX23LL/A,1199.0,1299.0,7.70%,4.9,407.0,False,iPad
