Unnamed: 0,pos,title,merchant,price,rating,reviews_count,product
0,1,Apple iPad (10th Generation),Amazon.com,299.0,4.8,41000.0,iPad
1,2,Apple iPad (9th Generation),Best Buy,199.99,4.8,82000.0,iPad
2,3,Apple iPad (5th Generation),Walmart - UPGRADE SOLUTION INC,124.0,4.6,13000.0,iPad
3,4,"Apple iPad Air (M2, 2024)",Apple,599.0,4.8,2000.0,iPad
4,5,Apple iPad Pro 3rd Generation (12.9),FoneZone.me,408.39,4.6,2000.0,iPad
5,6,"Apple iPad Pro (M4, 2024)",T-Mobile,1199.99,4.7,2000.0,iPad
6,7,Apple iPad 10th Generation 10.9-inch Wi-Fi 64GB Yellow,Best Buy,13.87,5.0,2.0,iPad
7,8,"Apple iPad Pro (M4, 2024)",T-Mobile,1199.99,4.7,2000.0,iPad
8,9,Apple iPad 10th Generation 10.9-inch Wi-Fi 64GB Yellow,Best Buy,13.87,5.0,2.0,iPad
9,10,Apple iPad (7th Generation),Walmart - Noble Planet Inc.,199.95,4.6,12000.0,iPad
10,11,Apple iPad Air 2,Amazon.com - Seller,90.38,4.5,18000.0,iPad
11,12,"Apple iPad Air 9.7"" 16GB Wi-Fi",FoneZone.me,35.39,4.3,11000.0,iPad
12,13,Apple iPad Air,Apple,469.0,4.8,12000.0,iPad
13,14,Apple - 10.9-Inch iPad - Latest Model - (10th Generation) with Wi-Fi + Cellular - 64GB - Blue (Verizon) - 36 monthly installments,Best Buy,9.69,4.8,41000.0,iPad
14,15,"Apple iPad Air 10.5-inch 256GB Wi-Fi Only (2019, 3rd Generation)",Walmart - Noble Planet Inc.,244.95,3.3,14.0,iPad
15,16,Apple iPad Air 4,Target,549.99,4.7,8500.0,iPad
16,17,Apple iPad Pro 11,Sam's Club,849.0,4.5,6200.0,iPad
17,18,Apple iPad Pro,Back Market,660.28,4.8,3200.0,iPad
18,19,Apple iPad Pro 10.5-inch 64GB Wi-Fi,Amazon.com - Seller,186.0,4.7,1800.0,iPad
19,20,Apple iPad 10.2-inch Wi-Fi 64GB Space Gray (2021),Walmart - Gadget Replay,222.48,4.9,20000.0,iPad
20,21,Apple iPad Pro Wi-Fi + Cellular standard glass,Apple,999.0,4.8,711.0,iPad
21,22,Apple iPad Air (5th generation),PC Richard & Son,499.0,4.8,11000.0,iPad
22,23,Apple 12.9 inch iPad Pro,Best Buy,1399.0,4.8,4700.0,iPad
23,24,Apple iPad Pro 10.5-inch 64GB Space Gray,Amazon.com - Seller,186.0,4.5,1900.0,iPad
24,25,Apple iPad (8th Generation),Walmart - Noble Planet Inc.,194.95,4.8,15000.0,iPad
25,26,"Apple iPad 10th Gen 64GB Wi-Fi 10.9"" Silver (2022)",B&H Photo-Video-Audio,319.0,4.5,28.0,iPad
26,27,Apple iPad Pro 12.9-inch (2nd generation),Reebelo USA,406.0,4.7,3200.0,iPad
27,28,Apple iPad (10th Generation) 64GB in Blue | Verizon (with 36 monthly installment payments + plan),Verizon,13.88,4.8,41000.0,iPad
28,29,Apple iPad mini (6th generation),Amazon.com,389.0,4.8,14000.0,iPad
29,30,2021 Apple 10.2-inch iPad and Apple Pencil,Walmart,313.97,4.9,20000.0,iPad
30,31,iPad 9th Generation Wi-Fi 64GB,Apple,249.0,4.9,20000.0,iPad
31,32,Apple iPad (6th Generation),eBay,105.0,4.5,20000.0,iPad
32,33,Apple iPad 10th Generation (2022) - 64GB - Blue - With Contract and 36 Installment Payments,AT&T,13.89,4.8,41000.0,iPad
33,34,Restored Apple iPad 7th,Amazon.com - Seller,144.0,4.5,5000.0,iPad
34,35,Apple iPad Air 1 16GB Silver - AT&T Locked - Acceptable,Walmart - Noble Planet Inc.,79.97,4.2,647.0,iPad
35,36,Apple iPad 11-inch Air Wi-Fi,SHI International,685.0,4.7,2900.0,iPad
36,37,Apple iPad 16GB WiFi,Triveni World,27.82,0.0,0.0,iPad
37,38,Apple iPad Mini,Apple,419.0,4.6,2200.0,iPad
38,39,"Apple iPad Air 10.9"" Wi-Fi 64GB Space Gray",Back Market,294.99,4.8,333.0,iPad
39,40,Apple iPad Pro 9.7-inch WiFi,Walmart - Certified Refurbished Store,179.0,4.5,391.0,iPad
40,41,Apple iPad 10th Gen WiFi + Cellular Unlocked 64GB Blue,Best Buy,449.0,4.8,223.0,iPad
41,42,"Apple iPad Air 11-inch (M2): Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery",Amazon.com,545.0,4.7,2900.0,iPad
42,43,Apple iPad 10th Generation 10.9-inch Wi-Fi 64GB Pink,Staples,449.99,4.4,11.0,iPad
43,44,Apple iPad Mini 5,Follett's Purdue Bookstore,379.0,4.7,4000.0,iPad
44,45,Apple iPad Mini 4,Walmart - LTechMart,108.99,4.5,11000.0,iPad
45,46,Apple iPad Pro 9.7-inch,Mac of All Trades,119.99,0.0,0.0,iPad
46,47,"Apple iPad Pro 11"" 128GB Wi-Fi Space Gray",Target,799.99,4.7,4700.0,iPad
0,1,Apple iPhone 16,Apple,829.0,4.2,142.0,iPhone
1,2,Apple iPhone 16 Plus,T-Mobile,1229.99,4.4,84.0,iPhone
2,3,Apple iPhone 11 128GB Red AT&T Locked Grade B,Walmart - Hybrid IT,55.0,3.4,3500.0,iPhone
3,4,Apple iPhone 13,Total Wireless,360.0,4.7,56000.0,iPhone
4,5,Apple iPhone 12 - 64 GB - Black (with Mobile Phone Plan) - Boost Mobile,Boost Mobile,149.99,4.5,44000.0,iPhone
5,6,Apple iPhone 16 Pro,Apple,999.0,4.0,585.0,iPhone
6,7,Apple iPhone 15 Pro,T-Mobile,899.99,4.4,15000.0,iPhone
7,8,Apple iPhone 15,Verizon,20.27,4.6,17000.0,iPhone
8,9,Apple iPhone 11,Amazon.com - Seller,229.99,4.6,105000.0,iPhone
